tweet_id,ticker_symbol
550453624258965000,AMZN
550499176422051000,AMZN
550650235404701000,AAPL
550650235404701000,AMZN
550650451948212000,AAPL
550779709840445000,AAPL
550781053137616000,AAPL
550992290328875000,AAPL
550992290328875000,AMZN
550992328035696000,AAPL
551020943213338000,AAPL
551710848285409000,AAPL
551748357937700000,GOOG
551756217698516000,AAPL
551815529116467000,AAPL
551815529116467000,GOOGL
551928218224455000,AAPL
551928218224455000,GOOG
551928218224455000,MSFT
552128101896175000,AAPL
552169402494619000,AAPL
552728363136065000,TSLA
553203977509421000,GOOGL
553274228116836000,AAPL
553276891986415000,AAPL
553612557475655000,AAPL
553752667366105000,AAPL
553984070523572000,TSLA
554249944417447000,AAPL
554639335396364000,AAPL
555133264080289000,TSLA
555223135033630000,AAPL
555341058021007000,AMZN
555455991085797000,TSLA
556183513859244000,AAPL
556572118323040000,AAPL
556836562642935000,TSLA
557400868023439000,GOOG
557681965256953000,GOOG
557728343794388000,GOOG
557728343794388000,TSLA
557934639848095000,AMZN
558029039878045000,AAPL
558218866762219000,MSFT
558293375590600000,MSFT
558372145987088000,MSFT
558385947914420000,AAPL
558488622312484000,AAPL
559187549411762000,GOOGL
559190404772679000,GOOG
559235925108994000,AAPL
559372677798842000,AAPL
559468403640266000,GOOG
559468403640266000,MSFT
559585638064742000,AAPL
559585638064742000,AMZN
559660871165939000,AAPL
559801476349165000,AAPL
559826177867522000,MSFT
559888797899706000,GOOG
560084371978584000,GOOG
560088333792329000,GOOG
560116974492336000,AAPL
560126046146949000,AAPL
560160001822846000,AAPL
560188249252327000,AAPL
560188913533583000,AAPL
560189783885221000,AAPL
560191695451877000,AAPL
560192701975781000,AAPL
560193205560680000,AAPL
560193727592136000,AAPL
560194089938063000,AAPL
560194657347330000,AAPL
560195711984496000,AAPL
560197054874804000,AAPL
560197248240209000,AAPL
560198546960703000,AAPL
560199026164125000,AAPL
560200145384771000,AAPL
560200998338449000,AAPL
560203099139502000,AAPL
560204763942625000,AAPL
560210558520426000,AAPL
560211443467816000,AAPL
560214960526344000,AAPL
560249441672646000,AAPL
560249441672646000,GOOGL
560249441672646000,MSFT
560264610339889000,AAPL
560270471187673000,AAPL
560286489117212000,AAPL
560299773249740000,AAPL
560316441048920000,AAPL
560353721855782000,AAPL
560371804137857000,AAPL
560388116133863000,AAPL
560412726925594000,AAPL
560414555025580000,AAPL
560428007601745000,AAPL
560429015312654000,AAPL
560437253965901000,AAPL
560438663587581000,AAPL
560445559463763000,AAPL
560450794106142000,AAPL
560453685281841000,AAPL
560461403992379000,AAPL
560463034737770000,AAPL
560471115584532000,AAPL
560473277425254000,AAPL
560477403953500000,AAPL
560481247919898000,AAPL
560492624004775000,AAPL
560498268292251000,AAPL
560557937295646000,AAPL
560561730049552000,AAPL
560564503902167000,GOOGL
560575467137544000,AAPL
560588888713216000,AAPL
560603233144807000,AAPL
560652622118805000,AAPL
560715949427662000,AAPL
560814629358948000,AAPL
560899421186297000,AAPL
560907776763764000,AMZN
560908484456513000,AMZN
560909238542041000,AMZN
560913379897139000,GOOG
560918526870163000,AMZN
560935425192497000,AMZN
560957664810004000,AAPL
561066214454476000,AAPL
561131981954887000,GOOG
561176078371524000,AAPL
561187143477768000,AAPL
561235641489690000,AMZN
561237390539231000,AMZN
561238936367157000,AMZN
561248161025781000,GOOG
561359215218802000,AAPL
561690397693730000,AAPL
561729951897255000,AAPL
561886691917844000,AMZN
562249127325859000,GOOGL
562412393616379000,AAPL
562505910816636000,GOOG
562697001339744000,GOOG
563082147356217000,AAPL
563126428477452000,AAPL
563155195228868000,GOOG
563314898181292000,AAPL
563336214707990000,AAPL
563381473185894000,AAPL
563412393964077000,AAPL
563688659073773000,AAPL
563688659073773000,MSFT
563688659073773000,TSLA
563728953865940000,GOOG
563762632021118000,AAPL
564088061709914000,GOOG
564088061709914000,AMZN
564621180301500000,AAPL
564946210570518000,AAPL
565014870404661000,AAPL
565148971677392000,AAPL
565148971677392000,TSLA
565204785465688000,AAPL
565216015123234000,AAPL
565244920269910000,AAPL
565251804984668000,AAPL
565252606109687000,AAPL
565254985961963000,AAPL
565256764871163000,AAPL
565258963055562000,AAPL
565263463266938000,AAPL
565275788095016000,AAPL
565300292393390000,AAPL
565326510748614000,MSFT
