SettlementDate,Time,Demand
2/1/2022,16:35:00,36736
2/1/2022,16:40:00,37066
2/1/2022,16:45:00,37428
2/1/2022,16:50:00,37742
2/1/2022,16:55:00,38018
2/1/2022,17:00:00,38389
2/1/2022,17:05:00,38995
2/1/2022,17:10:00,39307
2/1/2022,17:15:00,39603
2/1/2022,17:20:00,40232
2/1/2022,17:25:00,40462
2/1/2022,17:30:00,40625
2/1/2022,17:35:00,40701
2/1/2022,17:40:00,40724
2/1/2022,17:45:00,40853
2/1/2022,17:50:00,40868
2/1/2022,17:55:00,40769
2/1/2022,18:00:00,40712
2/1/2022,18:05:00,40648
2/1/2022,18:10:00,40573
2/1/2022,18:15:00,40455
2/1/2022,18:20:00,40313
2/1/2022,18:25:00,40090
2/1/2022,18:30:00,39924
2/1/2022,18:35:00,39840
2/1/2022,18:40:00,39749
2/1/2022,18:45:00,39544
2/1/2022,18:50:00,39407
2/1/2022,18:55:00,39223
2/1/2022,19:00:00,38972
2/1/2022,19:05:00,38978
2/1/2022,19:10:00,39019
2/1/2022,19:15:00,38833
2/1/2022,19:20:00,38585
2/1/2022,19:25:00,38329
2/1/2022,19:30:00,38104
2/1/2022,19:35:00,37961
2/1/2022,19:40:00,37764
2/1/2022,19:45:00,37498
2/1/2022,19:50:00,37332
2/1/2022,19:55:00,37316
2/1/2022,20:00:00,37168
2/1/2022,20:05:00,36947
2/1/2022,20:10:00,36670
2/1/2022,20:15:00,36681
2/1/2022,20:20:00,36219
2/1/2022,20:25:00,35830
2/1/2022,20:30:00,35617
2/1/2022,20:35:00,35497
2/1/2022,20:40:00,35227
2/1/2022,20:45:00,34874
2/1/2022,20:50:00,34576
2/1/2022,20:55:00,34297
2/1/2022,21:00:00,34227
2/1/2022,21:05:00,34055
2/1/2022,21:10:00,33862
2/1/2022,21:15:00,33325
2/1/2022,21:20:00,32939
2/1/2022,21:25:00,32428
2/1/2022,21:30:00,31946
2/1/2022,21:35:00,31602
2/1/2022,21:40:00,31307
2/1/2022,21:45:00,31070
2/1/2022,21:50:00,30950
2/1/2022,21:55:00,30664
2/1/2022,22:00:00,30251
2/1/2022,22:05:00,30064
2/1/2022,22:10:00,29805
2/1/2022,22:15:00,29442
2/1/2022,22:20:00,29160
2/1/2022,22:25:00,28843
2/1/2022,22:30:00,28672
2/1/2022,22:35:00,28576
2/1/2022,22:40:00,28377
2/1/2022,22:45:00,28183
2/1/2022,22:50:00,27765
2/1/2022,22:55:00,27487
2/1/2022,23:00:00,27105
2/1/2022,23:05:00,26803
2/1/2022,23:10:00,26785
2/1/2022,23:15:00,26524
2/1/2022,23:20:00,26275
2/1/2022,23:25:00,26098
2/1/2022,23:30:00,25990
2/1/2022,23:35:00,25829
2/1/2022,23:40:00,25867
2/1/2022,23:45:00,25881
2/1/2022,23:50:00,25756
2/1/2022,23:55:00,25613
2/2/2022,0:00:00,25568
2/2/2022,0:05:00,25892
2/2/2022,0:10:00,25916
2/2/2022,0:15:00,25966
2/2/2022,0:20:00,25921
2/2/2022,0:25:00,25895
2/2/2022,0:30:00,25911
2/2/2022,0:35:00,25936
2/2/2022,0:40:00,25937
2/2/2022,0:45:00,26010
2/2/2022,0:50:00,26043
2/2/2022,0:55:00,26007
2/2/2022,1:00:00,26071
2/2/2022,1:05:00,26398
2/2/2022,1:10:00,26505
2/2/2022,1:15:00,26551
2/2/2022,1:20:00,26561
2/2/2022,1:25:00,26512
2/2/2022,1:30:00,26578
2/2/2022,1:35:00,26702
2/2/2022,1:40:00,26753
2/2/2022,1:45:00,26790
2/2/2022,1:50:00,26736
2/2/2022,1:55:00,26545
2/2/2022,2:00:00,26490
2/2/2022,2:05:00,26432
2/2/2022,2:10:00,26307
2/2/2022,2:15:00,26330
2/2/2022,2:20:00,26170
2/2/2022,2:25:00,26049
2/2/2022,2:30:00,26028
2/2/2022,2:35:00,25928
2/2/2022,2:40:00,25955
2/2/2022,2:45:00,25962
2/2/2022,2:50:00,25984
2/2/2022,2:55:00,26038
2/2/2022,3:00:00,26043
2/2/2022,3:05:00,25990
2/2/2022,3:10:00,25944
2/2/2022,3:15:00,25924
2/2/2022,3:20:00,25882
2/2/2022,3:25:00,25844
2/2/2022,3:30:00,25760
2/2/2022,3:35:00,25744
2/2/2022,3:40:00,25800
2/2/2022,3:45:00,25774
2/2/2022,3:50:00,25772
2/2/2022,3:55:00,25728
2/2/2022,4:00:00,25648
2/2/2022,4:05:00,25394
2/2/2022,4:10:00,25382
2/2/2022,4:15:00,25261
2/2/2022,4:20:00,25111
2/2/2022,4:25:00,25025
2/2/2022,4:30:00,24970
2/2/2022,4:35:00,24924
2/2/2022,4:40:00,24825
